Name,Type,County,pop_2020,pop_2010
Rolling Hills,City,Los Angeles,"1,739","1,860"
Rolling Hills Estates,City,Los Angeles,"8,280","8,067"
Rosemead,City,Los Angeles,"51,185","53,764"
Roseville,City,Placer,"147,773","118,788"
Ross,Town,Marin,"2,338","2,415"
Sacramento,City,Sacramento,"524,943","466,488"
St. Helena,City,Napa,"5,430","5,814"
Salinas,City,Monterey,"163,542","150,441"
San Anselmo,Town,Marin,"12,830","12,336"
San Bernardino,City,San Bernardino,"222,101","209,924"
San Bruno,City,San Mateo,"43,908","41,114"
San Carlos,City,San Mateo,"30,722","28,406"
San Clemente,City,Orange,"64,293","63,522"
San Diego,City,San Diego,"1,386,932","1,307,402"
San Dimas,City,Los Angeles,"34,924","33,371"
San Fernando,City,Los Angeles,"23,946","23,645"
San Francisco,City and county,San Francisco,"873,965","805,235"
San Gabriel,City,Los Angeles,"39,568","39,718"
San Jacinto,City,Riverside,"53,898","44,199"
San Joaquin,City,Fresno,"3,701","4,001"
San Jose,City,Santa Clara,"1,013,240","945,942"
San Juan Bautista,City,San Benito,"2,089","1,862"
San Juan Capistrano,City,Orange,"35,196","34,593"
San Leandro,City,Alameda,"91,008","84,950"
San Luis Obispo,City,San Luis Obispo,"47,063","45,119"
San Marcos,City,San Diego,"94,833","83,781"
San Marino,City,Los Angeles,"12,513","13,147"
San Mateo,City,San Mateo,"105,661","97,207"
San Pablo,City,Contra Costa,"32,127","29,139"
San Rafael,City,Marin,"61,271","57,713"
San Ramon,City,Contra Costa,"84,605","72,148"
Sand City,City,Monterey,325,334
Sanger,City,Fresno,"26,617","24,270"
Santa Ana,City,Orange,"310,227","324,528"
Santa Barbara,City,Santa Barbara,"88,665","88,410"
Santa Clara,City,Santa Clara,"127,647","116,468"
Santa Clarita,City,Los Angeles,"228,673","176,320"
Santa Cruz,City,Santa Cruz,"62,956","59,946"
Santa Fe Springs,City,Los Angeles,"19,219","16,223"
Santa Maria,City,Santa Barbara,"109,707","99,553"
Santa Monica,City,Los Angeles,"93,076","89,736"
Santa Paula,City,Ventura,"30,657","29,321"
Santa Rosa,City,Sonoma,"178,127","167,815"
Santee,City,San Diego,"60,037","53,413"
Saratoga,City,Santa Clara,"31,051","29,926"
Sausalito,City,Marin,"7,269","7,061"
Scotts Valley,City,Santa Cruz,"12,224","11,580"
Seal Beach,City,Orange,"25,242","24,168"
Seaside,City,Monterey,"32,366","33,025"
Sebastopol,City,Sonoma,"7,521","7,379"
Selma,City,Fresno,"24,674","23,219"
Shafter,City,Kern,"19,953","16,988"
Shasta Lake,City,Shasta,"10,371","10,164"
Sierra Madre,City,Los Angeles,"11,268","10,917"
Signal Hill,City,Los Angeles,"11,848","11,016"
Simi Valley,City,Ventura,"126,356","124,237"
Solana Beach,City,San Diego,"12,941","12,867"
Soledad,City,Monterey,"24,925","25,738"
Solvang,City,Santa Barbara,"6,126","5,245"
Sonoma,City,Sonoma,"10,739","10,648"
Sonora,City,Tuolumne,"5,003","4,903"
South El Monte,City,Los Angeles,"19,567","20,116"
South Gate,City,Los Angeles,"92,726","94,396"
South Lake Tahoe,City,El Dorado,"21,330","21,403"
South Pasadena,City,Los Angeles,"26,943","25,619"
South San Francisco,City,San Mateo,"66,105","63,632"
Stanton,City,Orange,"37,962","38,186"
Stockton,City,San Joaquin,"320,804","291,707"
Suisun City,City,Solano,"29,518","28,111"
Sunnyvale,City,Santa Clara,"155,805","140,081"
Susanville,City,Lassen,"16,728","17,947"
Sutter Creek,City,Amador,"2,646","2,501"
Taft,City,Kern,"8,546","9,327"
Tehachapi,City,Kern,"12,939","14,414"
Tehama,City,Tehama,435,418
Temecula,City,Riverside,"110,003","100,097"
Temple City,City,Los Angeles,"36,494","35,558"
Thousand Oaks,City,Ventura,"126,966","126,683"
Tiburon,Town,Marin,"9,146","8,962"
Torrance,City,Los Angeles,"147,067","145,538"
Tracy,City,San Joaquin,"93,000","82,922"
Trinidad,City,Humboldt,307,367
Truckee,Town,Nevada,"16,729","16,180"
Tulare,City,Tulare,"68,875","59,278"
Tulelake,City,Siskiyou,902,"1,010"
Turlock,City,Stanislaus,"72,740","68,549"
Tustin,City,Orange,"80,276","75,540"
Twentynine Palms,City,San Bernardino,"28,065","25,048"
Ukiah,City,Mendocino,"16,607","16,075"
Union City,City,Alameda,"70,143","69,516"
Upland,City,San Bernardino,"79,040","73,732"
Vacaville,City,Solano,"102,386","92,428"
Vallejo,City,Solano,"126,090","115,942"
Ventura,City,Ventura,"110,763","106,433"
Vernon,City,Los Angeles,222,112
Victorville,City,San Bernardino,"134,810","115,903"
Villa Park,City,Orange,"5,843","5,812"
Visalia,City,Tulare,"141,384","124,442"
Vista,City,San Diego,"98,381","93,834"
Walnut,City,Los Angeles,"28,430","29,172"
Walnut Creek,City,Contra Costa,"70,127","64,173"
Wasco,City,Kern,"27,047","25,545"
Waterford,City,Stanislaus,"9,120","8,456"
Watsonville,City,Santa Cruz,"52,590","51,199"
Weed,City,Siskiyou,"2,862","2,967"
West Covina,City,Los Angeles,"109,501","106,098"
West Hollywood,City,Los Angeles,"35,757","34,399"
West Sacramento,City,Yolo,"53,915","48,744"
Westlake Village,City,Los Angeles,"8,029","8,270"
Westminster,City,Orange,"90,911","89,701"
Westmorland,City,Imperial,"2,014","2,225"
Wheatland,City,Yuba,"3,712","3,456"
Whittier,City,Los Angeles,"87,306","85,331"
Wildomar,City,Riverside,"36,875","32,176"
Williams,City,Colusa,"5,538","5,123"
Willits,City,Mendocino,"4,988","4,888"
Willows,City,Glenn,"6,293","6,166"
Windsor,Town,Sonoma,"26,344","26,801"
Winters,City,Yolo,"7,115","6,624"
Woodlake,City,Tulare,"7,419","7,279"
Woodland,City,Yolo,"61,032","55,468"
Woodside,Town,San Mateo,"5,309","5,287"
Yorba Linda,City,Orange,"68,336","64,234"
Yountville,Town,Napa,"3,436","2,933"
Yreka,City,Siskiyou,"7,807","7,765"
Yuba City,City,Sutter,"70,117","64,925"
Yucaipa,City,San Bernardino,"54,542","51,367"
Yucca Valley,Town,San Bernardino,"21,738","20,700"
